DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE 1,OBS_FLAG
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2012,90.2,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2013,89.3,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2014,90.5,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2015,99.9,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2016,106.4,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2017,104.1,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2018,97.8,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2019,96.6,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2020,111.8,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2021,112.6,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FI,2022,108.3,e
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2010,112.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2011,111.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2012,104.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2013,105,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2014,102.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2016,105.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2017,105.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2018,106.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2019,110.3,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2020,96.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2021,105.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,FR,2022,103.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2010,132.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2011,119.6,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2012,109.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2013,114.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2014,102.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2016,97.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2017,93.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2018,91,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2019,98.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2020,103.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2021,112.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HR,2022,114.3,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2010,81.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2011,78.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2012,74.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2013,79.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2014,98.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2016,67,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2017,90.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2018,117.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2019,143.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2020,123.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2021,132,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,HU,2022,130.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2010,107.7,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2011,83.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2012,96.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2013,101.2,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2014,104.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2015,100,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2016,103.1,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2017,106.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2018,118.8,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2019,112.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2020,96,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2021,108.9,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IE,2022,106,p
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2010,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2011,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2012,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2013,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2014,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2015,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2016,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2017,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2018,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2019,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2020,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2021,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,IT,2022,,c
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2010,85.5,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2011,102.4,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2012,95,
ESTAT:STS_COPR_A(1.0),13/05/23 11:00:00,A,PROD,F_CC2,CA,I15,LT,2013,102.9,
