DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2014,2.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2015,3.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2016,3.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2017,3.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2018,3.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2019,2.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2020,3.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LT,2021,3.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2010,1.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2011,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2012,1.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2013,1.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2014,2.1,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2015,2.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2016,1.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2017,2.0,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2018,1.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2019,1.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2020,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LU,2021,1.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2010,1.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2011,1.7,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2012,1.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2013,1.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2014,1.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2015,0.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2016,0.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2017,0.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2018,1.2,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2019,1.5,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2020,1.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,LV,2021,1.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2010,1.0,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2011,0.7,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2012,0.7,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2013,0.9,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2014,0.9,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2015,1.1,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2016,1.6,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2017,1.9,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2018,1.9,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2019,1.9,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2020,1.2,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,MT,2021,1.7,p
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,NL,2010,21.3,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,NL,2011,21.6,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,NL,2012,15.4,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,NL,2013,11.9,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,NL,2014,13.8,
ESTAT:STS_COBP_A(1.0),18/05/23 11:00:00,A,PSQM,CPA_F41001_41002,NSA,MIO_M2,NL,2015,16.7,
