DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2018,18826,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2019,22959,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HR,2020,24044,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2011,65322,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2012,60284,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2013,55471,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2014,56765,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2015,60724,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2016,63871,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2017,69658,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2018,79218,b
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2019,93130,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,HU,2020,101797,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2011,50256,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2012,49530,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2013,48502,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2014,47349,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2015,50546,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2016,51568,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2017,57255,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2018,57626,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2019,59175,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IE,2020,62664,
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IS,2015,4614,p
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IS,2016,5023,p
ESTAT:SBS_SC_CON_R2$DEFAULTVIEW(1.0),15/03/23 23:00:00,A,F,V11110,TOTAL,IS,2017,5328,p
